doc_id,query,product,section,type,hit,rank
b0f0c174-97bd-4dcd-b8bf-9e14a48fbca6,Vietcombank có những gói vay nào?,,list,loan,True,1
d22c301d-fdc1-4fdd-8802-78ebc9a02a73,Vietcombank có những gói vay Vay mua ô tô nào?,Vay mua ô tô,list,loan,True,1
215d387c-33a8-40e4-b7dd-f9c4f6c79ca4,Nhóm vay Vay nhu cầu bất động sản gồm những sản phẩm gì?,Vay nhu cầu bất động sản,list,loan,True,1
70f79774-8ff5-412e-b4e9-bf320932613a,Các sản phẩm thuộc nhóm Vay sản xuất kinh doanh tại VCB?,Vay sản xuất kinh doanh,list,loan,True,2
815237d9-1b98-415b-89bb-671c136bc479,Các sản phẩm thuộc nhóm Vay tiêu dùng tại VCB?,Vay tiêu dùng,list,loan,True,2
f106be56-da64-4169-bc89-77e48c2f0744,VCB phát hành những thẻ tín dụng gì?,,list,card,True,2
32de3a50-3635-4cdd-9dff-454480c5ce25,Hạn mức vay Vay mua ô tô VCB là bao nhiêu?,Vay mua ô tô,Thông tin chung,loan,True,2
54a3465a-1b07-4f5c-be42-2583f2bee8fb,Hồ sơ vay Vay mua ô tô tại Vietcombank cần những gì?,Vay mua ô tô,Hồ sơ chuẩn bị,loan,True,1
3f5b81bc-fbaa-49b4-989c-94c494e97d18,Quy trình giải ngân Vay mua ô tô tại VCB?,Vay mua ô tô,Quy trình & Ngày trả nợ,loan,True,2
8556be44-e318-424f-8870-67c4aca376a7,Phí trả nợ trước hạn Vay mua ô tô tại Vietcombank?,Vay mua ô tô,Biểu phí,loan,True,4
8cf646ed-f945-4d98-8431-4c63ceaf0275,Ai đủ điều kiện vay Vay xây sửa nhà ở tại Vietcombank?,Vay xây sửa nhà ở,Thông tin chung,loan,True,12
a2dd4fd7-c804-402c-bbf1-388801159a9f,Vay Vay xây sửa nhà ở cần nộp hồ sơ gì cho VCB?,Vay xây sửa nhà ở,Hồ sơ chuẩn bị,loan,True,1
7da03a91-3a72-4164-a14b-7a260b55777a,Quy trình vay Vay xây sửa nhà ở tại Vietcombank như thế nào?,Vay xây sửa nhà ở,Quy trình & Ngày trả nợ,loan,True,1
68a7b489-e71d-43f3-9c60-bca110fd2800,Phí trả nợ trước hạn Vay xây sửa nhà ở tại Vietcombank?,Vay xây sửa nhà ở,Biểu phí,loan,True,3
208a2e0c-a397-4878-9cfb-db344fa4f348,Điều kiện vay Nhà Mới Thành Đạt tại Vietcombank là gì?,Nhà Mới Thành Đạt,Thông tin chung,loan,True,1
b2bc7bd7-c947-49b6-a31f-9537f98184df,Cần chuẩn bị giấy tờ gì để vay Nhà Mới Thành Đạt?,Nhà Mới Thành Đạt,Hồ sơ chuẩn bị,loan,True,1
00054889-76c4-41f3-aa74-75acab0fa04e,Các bước vay Nhà Mới Thành Đạt tại Vietcombank?,Nhà Mới Thành Đạt,Quy trình vay và kỳ trả nợ,loan,True,1
f198d58d-c4f7-4625-bb98-130edbc290f5,Phí vay Nhà Mới Thành Đạt tại Vietcombank là bao nhiêu?,Nhà Mới Thành Đạt,Phí,loan,False,
c41077dd-9292-45c9-8de2-6b16485e497a,Ai đủ điều kiện vay Vay mua nhà dự án tại Vietcombank?,Vay mua nhà dự án,Thông tin chung,loan,True,8
31207a5b-d790-4e0c-a4b9-b35a6e9066f0,Cần chuẩn bị giấy tờ gì để vay Vay mua nhà dự án?,Vay mua nhà dự án,Hồ sơ chuẩn bị,loan,True,1
106defc8-b3e8-4172-9592-e516b0829a65,Quy trình giải ngân Vay mua nhà dự án tại VCB?,Vay mua nhà dự án,Quy trình & Ngày trả nợ,loan,True,1
ec167100-cdb5-4a35-8120-8bfb00bdbb9f,Phí phạt trả nợ trước hạn Vay mua nhà dự án?,Vay mua nhà dự án,Biểu phí,loan,True,1
37507c0f-a65a-46dd-af25-963b7d62c09f,"Đối tượng được vay Vay mua nhà ở, đất ở tại Vietcombank?","Vay mua nhà ở, đất ở",Thông tin chung,loan,True,3
96a37061-75d8-4bb7-badb-6c197f99cb26,"Vay Vay mua nhà ở, đất ở cần nộp hồ sơ gì cho VCB?","Vay mua nhà ở, đất ở",Hồ sơ chuẩn bị,loan,True,1
d2087b14-4193-48a3-aa7b-b9b0dc2f60df,"Quy trình giải ngân Vay mua nhà ở, đất ở tại VCB?","Vay mua nhà ở, đất ở",Quy trình & Ngày trả nợ,loan,True,1
48c470d8-6a90-41c0-bfaa-f0f1b7b29f24,"Chi phí vay Vay mua nhà ở, đất ở có những khoản phí gì?","Vay mua nhà ở, đất ở",Biểu phí,loan,True,1
7c1d1256-4127-4e5d-9d09-3f344de218ca,Điều kiện vay An tâm kinh doanh tại Vietcombank là gì?,An tâm kinh doanh,Thông tin chung,loan,True,12
d7a31c25-d21a-4fef-a173-66c75c00212c,Cần chuẩn bị giấy tờ gì để vay An tâm kinh doanh?,An tâm kinh doanh,Hồ sơ chuẩn bị,loan,True,1
7e7da555-83d6-46b0-9fcb-f433df3df058,Kỳ hạn trả nợ vay An tâm kinh doanh Vietcombank?,An tâm kinh doanh,Quy trình & Ngày trả nợ,loan,True,1
9fc90971-aeac-4c23-9f0f-58f56376adda,Chi phí vay An tâm kinh doanh có những khoản phí gì?,An tâm kinh doanh,Biểu phí,loan,True,2
9677ed23-f029-46e0-b887-3ca3fe59cfec,Thời hạn vay tối đa Vay nâng cấp cơ sở lưu trú du lịch là bao lâu?,Vay nâng cấp cơ sở lưu trú du lịch,Thông tin chung,loan,True,1
12cb9e4e-ef58-4082-b2ff-cc3b21b2e9fa,Cần chuẩn bị giấy tờ gì để vay Vay nâng cấp cơ sở lưu trú du lịch?,Vay nâng cấp cơ sở lưu trú du lịch,Hồ sơ chuẩn bị,loan,True,1
fae3b1de-d88b-49b4-92dd-362dd6fff1ae,Các bước vay Vay nâng cấp cơ sở lưu trú du lịch tại Vietcombank?,Vay nâng cấp cơ sở lưu trú du lịch,Quy trình & Ngày trả nợ,loan,True,3
b216f233-e96d-40e2-9290-30df294e93d6,Chi phí vay Vay nâng cấp cơ sở lưu trú du lịch có những khoản phí gì?,Vay nâng cấp cơ sở lưu trú du lịch,Biểu phí,loan,True,2
a3af6883-e1b4-4ca5-910a-522766f8370d,Điều kiện vay Vay xây mới cơ sở lưu trú du lịch tại Vietcombank là gì?,Vay xây mới cơ sở lưu trú du lịch,Thông tin chung,loan,True,4
5ed25a0d-1d87-4bb1-93f4-cca717cb138c,Hồ sơ vay Vay xây mới cơ sở lưu trú du lịch tại Vietcombank cần những gì?,Vay xây mới cơ sở lưu trú du lịch,Hồ sơ chuẩn bị,loan,True,1
6b8e97ee-ad36-4784-a254-48ff93a7f028,Kỳ hạn trả nợ vay Vay xây mới cơ sở lưu trú du lịch Vietcombank?,Vay xây mới cơ sở lưu trú du lịch,Quy trình & Ngày trả nợ,loan,True,1
